Launch Site,Latitude,Longitude,Country,Launches
Baikonur Cosmodrome,45.92,63.342,Kazakhstan,432
Cape Canaveral,28.3922,-80.6077,USA,4113
Guiana ,5.239,-52.768,French Guiana,366
Jiuquan,40.9606,100.2983,China,212
Plesetsk,62.9256,40.5778,Russia,141
Mahia,-39.2615,177.8643,New Zealand,98
Satish Dhawan,13.7199,80.2304,India,277
Taiyuan,28.246,102.0266,China,207
Tanegashima ,30.3758,130.9603,Japan,40
Vandenberg,34.742,-120.5724,USA,935
Vostochny Cosmodrome,62.9256,40.5778,Russia,268
Xichang,28.246,102.0266,China,187
